README: geometry parameters,,,,,
,Rr5r4,Rb5b4,Rb4r4,RZrr4,NR
1,0.35,2.5,0.16,1.4,12
2,0.3,2,0.12,1.4,12
3,0.471500791,2.85666139,0.3,0.5,15
4,3.84E-01,2.109,0.3,0.5,8
5,0.46498,2.5,0.19717,0.5,8
6,0.3,2,0.12,1.4,12
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,rpm,,,,
1,20000,,,,
2,25000,,,,
3,30000,,,,
4,35000,,,,
5,40000,,,,
6,45000,,,,
7,50000,,,,
