,10xFlowCoeff,10xWorkCoeff,Total-Static_Efficiency
0,0.3,4.0,30.718095873908624
1,2.3,4.0,46.4149347625104
2,0.3,6.0,57.39774106067051
3,2.3,6.0,68.78031969127079
4,4.3,6.0,30.464210141795057
5,0.3,8.0,66.89173272836385
6,2.3,8.0,77.99899860498086
7,4.3,8.0,48.66671776637257
8,0.3,10.0,72.35520677158065
9,2.3,10.0,83.28071794456208
10,4.3,10.0,58.582351932132816
11,0.3,12.0,75.21696575137763
12,2.3,12.0,86.02115808656869
13,4.3,12.0,64.9104062645892
14,6.3,12.0,30.08004245869676
15,0.3,14.0,76.10624052077377
16,2.3,14.0,86.914138652497
17,4.3,14.0,68.56560334459513
18,6.3,14.0,40.59293115123105
19,0.3,16.0,75.36403808246465
20,2.3,16.0,86.43185131295559
21,4.3,16.0,70.4784723184447
22,6.3,16.0,46.209133239231
23,0.3,18.0,72.9006155826141
24,2.3,18.0,84.66932485701506
25,4.3,18.0,71.0252759641643
26,6.3,18.0,49.74200718743889
27,0.3,20.0,68.56580830304875
28,2.3,20.0,81.61929873156193
29,4.3,20.0,70.39728723016876
30,6.3,20.0,51.573822505369506
31,0.3,22.0,62.26252851677283
32,2.3,22.0,77.25129595130808
33,4.3,22.0,68.82424211635205
34,6.3,22.0,52.2435092899582
35,8.3,22.0,28.56840891947725
36,0.3,24.0,53.926890072752975
37,2.3,24.0,71.53418044685371
38,4.3,24.0,66.07026094115889
39,6.3,24.0,52.068645961183016
40,8.3,24.0,31.749724995273098
41,0.3,26.0,43.51546036214896
42,2.3,26.0,64.44166217155507
43,4.3,26.0,62.32461908588473
44,6.3,26.0,50.758697691986285
45,8.3,26.0,33.19767668325213
46,0.3,28.0,30.997816029410775
47,2.3,28.0,55.952793268806325
48,4.3,28.0,57.60100796714873
49,6.3,28.0,48.60288491856836
50,8.3,28.0,33.34622582414677
51,0.3,30.0,16.352086020498387
52,2.3,30.0,46.05108385231367
53,4.3,30.0,51.907130326332364
54,6.3,30.0,45.638798070043904
55,8.3,30.0,32.832050315122494
